School Name TDSB 		LC	LN	HEPA Filters	School.NameON	Board.Name	School Number	City	Street	Lat	Long	MM	match
Finch Public School	partial mechanical	2	12	Yes	Finch Public School	Toronto DSB	196371	Toronto	277 Finch Ave E	43.78354935	-79.39456815	2	TRUE
Hollywood  Public School	no mechanical	2	12	Yes	Hollywood Public School	Toronto DSB	263060	Toronto	360 Hollywood Ave	43.77071525	-79.39254117	2	FALSE
Lillian Public School	no mechanical	2	12	Yes	Lillian Public School	Toronto DSB	312339	Toronto	1059 Lillian St	43.79758435	-79.4103312	2	TRUE
McKee Public School	all mechanical	2	12	No	McKee Public School	Toronto DSB	352632	Toronto	35 Church Ave	43.7740231	-79.41097926	2	TRUE
Newtonbrook Secondary School	all mechanical	2	8	No	Newtonbrook Secondary School	Toronto DSB	928810	Toronto	155 Hilda Ave	43.7938863	-79.42567902	2	TRUE
Pleasant Public School	no mechanical	2	12	Yes	Pleasant Public School	Toronto DSB	448575	Toronto	288 Pleasant Ave	43.78999055	-79.4346024	2	TRUE
Willowdale Middle School	no mechanical	2	8	Yes	Bloordale Middle School	Toronto DSB	54801	Toronto	10 Toledo Rd	43.6399318	-79.57275222	2	FALSE
Willowdale Middle School	no mechanical	2	8	Yes	Willowdale Middle School	Toronto DSB	609773	Toronto	225 Senlac Rd	43.76962565	-79.42600856	2	TRUE
Yorkview  Public School	partial mechanical	2	12	Yes	Ionview Public School	Toronto DSB	277754	Toronto	90 Ionview Rd	43.7378772	-79.27476663	2	FALSE
Yorkview  Public School	partial mechanical	2	12	Yes	Yorkview Public School	Toronto DSB	624594	Toronto	130 Yorkview Dr	43.7724081	-79.4363063	2	FALSE
A.Y. Jackson Secondary School	all mechanical	2	8	No	A Y Jackson Secondary School	Toronto DSB	890227	Toronto	50 Francine Dr	43.80471625	-79.36700276	2	FALSE
Arbor Glen Public School	all mechanical	2	8	No	Arbor Glen Public School	Toronto DSB	20303	Toronto	55 Freshmeadow Dr	43.80946245	-79.35554608	2	TRUE
Brian Public School	partial mechanical	2	9	Yes	Brian Public School	Toronto DSB	60658	Toronto	95 Brian Dr	43.78284005	-79.33127939	2	TRUE
Cherokee Public School	all mechanical	2	9	No	Cherokee Public School	Toronto DSB	105694	Toronto	390 Cherokee Blvd	43.79844285	-79.33880041	2	TRUE
Cliffwood Public School	all mechanical	2	8	No	Cliffwood Public School	Toronto DSB	111775	Toronto	140 Cliffwood Rd	43.80614415	-79.36002693	2	TRUE
Cresthaven  Public School	all mechanical	2	8	No	Cresthaven Public School	Toronto DSB	127736	Toronto	46 Cresthaven Dr	43.7971146	-79.36393482	2	FALSE
Crestview Public School	all mechanical	2	11	No	Crestview Public School	Toronto DSB	127884	Toronto	101 Seneca Hill Dr	43.78831245	-79.35991034	2	TRUE
Dallington Public School	all mechanical	2	11	No	Dallington Public School	Toronto DSB	133060	Toronto	18 Dallington Dr	43.776922	-79.3545854	2	TRUE
Don Valley Middle School	all mechanical	2	11	No	Don Valley Middle School	Toronto DSB	141410	Toronto	3100 Don Mills Rd	43.78923565	-79.35466861	2	TRUE
Elkhorn Public School	partial mechanical	2	8	Yes	Elkhorn Public School	Toronto DSB	173363	Toronto	10 Elkhorn Dr	43.7712933	-79.38007025	2	TRUE
Ernest Public School	all mechanical	2	9	No	Ernest Public School	Toronto DSB	185680	Toronto	150 Cherokee Blvd	43.7913816	-79.33763788	2	TRUE
Forest Manor Public School	all mechanical	2	11	No	Forest Manor Public School	Toronto DSB	201510	Toronto	25 Forest Manor Rd	43.77122805	-79.34311635	2	TRUE
Highland Middle School	all mechanical	2	8	No	Highland Middle School	Toronto DSB	255947	Toronto	201 Cliffwood Rd	43.8072342	-79.35472065	2	TRUE
Hillmount Public School	all mechanical	2	8	No	Hillmount Public School	Toronto DSB	258970	Toronto	245 McNicoll Ave	43.79916975	-79.35075328	2	TRUE
Kingslake Public School	all mechanical	2	11	No	Kingslake Public School	Toronto DSB	300110	Toronto	90 Kingslake Rd	43.7848013	-79.34578911	2	TRUE
Lescon Public School	all mechanical	2	11	No	Lescon Public School	Toronto DSB	311553	Toronto	34 Lescon Rd	43.7808406	-79.357765	2	TRUE
Muirhead Public School	all mechanical	2	9	No	Muirhead Public School	Toronto DSB	378577	Toronto	25 Muirhead Rd	43.7791202	-79.33747422	2	TRUE
Pineway Public School	all mechanical	2	8	No	Pineway Public School	Toronto DSB	445525	Toronto	110 Pineway Blvd	43.7966942	-79.37469147	2	TRUE
Pleasant View Middle School	all mechanical	2	9	No	Pleasant View Middle School	Toronto DSB	448958	Toronto	175 Brian Dr	43.7875055	-79.33360846	2	TRUE
Seneca Hill Public School	all mechanical	2	11	No	Seneca Hill Public School	Toronto DSB	13226	Toronto	625 Seneca Hill Dr	43.79096935	-79.35015732	2	TRUE
Shaughnessy Public School	all mechanical	2	9	No	Shaughnessy Public School	Toronto DSB	508110	Toronto	30 Shaughnessy Blvd	43.7701787	-79.35172289	2	TRUE
Steelesview  Public School	all mechanical	2	8	No	Steelesview Public School	Toronto DSB	535443	Toronto	105 Bestview Dr	43.8023819	-79.38573093	2	FALSE
Zion Heights Middle School	all mechanical	2	8	No	Zion Heights Middle School	Toronto DSB	625132	Toronto	5900 Leslie St	43.79821805	-79.37087167	2	TRUE
Broadlands Public School	all mechanical	2	9	No	Broadlands Public School	Toronto DSB	63770	Toronto	106 Broadlands Blvd	43.7463595	-79.31667174	2	TRUE
Cassandra Public School	partial mechanical	2	10	Yes	Cassandra Public School	Toronto DSB	88080	Toronto	45 Cassandra Blvd	43.7485035	-79.32907674	2	TRUE
Don Mills Collegiate Institute	all mechanical	2	9	No	Don Mills Collegiate Institute	Toronto DSB	904112	Toronto	15 The Donway E	43.73503845	-79.33880785	2	TRUE
Don Mills Middle School	all mechanical	2	9	No	Don Mills Middle School	Toronto DSB	141380	Toronto	17 The Donway E	43.73695675	-79.33947173	2	TRUE
Fenside Public School	all mechanical	2	11	No	Fenside Public School	Toronto DSB	195073	Toronto	131 Fenside Dr	43.7647356	-79.32883201	2	TRUE
Gateway Public School	all mechanical	2	10	No	Gateway Public School	Toronto DSB	210714	Toronto	55 Gateway Blvd	43.7118931	-79.33168704	2	TRUE
George S. Henry Academy	all mechanical	2	9	No	George S Henry Academy	Toronto DSB	912301	Toronto	200 Graydon Hall Dr	43.76469395	-79.34043872	2	FALSE
Greenland Public School	partial mechanical	2	9	Yes	Greenland Public School	Toronto DSB	229652	Toronto	15 Greenland Rd	43.7335128	-79.33786797	2	TRUE
Grenoble Public School	partial mechanical	2	10	Yes	Grenoble Public School	Toronto DSB	230820	Toronto	9 Grenoble Dr	43.7151987	-79.33246936	2	TRUE
Milne Valley Middle School	all mechanical	2	10	No	Milne Valley Middle School	Toronto DSB	365890	Toronto	100 Underhill Dr	43.7470538	-79.32724059	2	TRUE
Norman Ingram Public School	partial mechanical	2	9	Yes	Norman Ingram Public School	Toronto DSB	400866	Toronto	50 Duncairn Rd	43.740062	-79.34981146	2	TRUE
Ranchdale  Public School	partial mechanical	2	10	Yes	Ranchdale Public School	Toronto DSB	474541	Toronto	60 Ranchdale Cres	43.75238075	-79.3231478	2	FALSE
